Source,Target,Type,Id,Weight
37,0,Directed,0,1
49,0,Directed,1,1
57,0,Directed,2,1
58,0,Directed,3,1
59,0,Directed,4,1
69,0,Directed,5,1
73,0,Directed,6,1
83,0,Directed,7,1
2,1,Directed,8,1
2,2,Directed,9,1
3,2,Directed,10,1
5,2,Directed,11,1
47,2,Directed,12,1
49,2,Directed,13,1
56,2,Directed,14,1
86,2,Directed,15,1
2,3,Directed,16,1
3,3,Directed,17,1
5,3,Directed,18,1
57,3,Directed,19,1
4,4,Directed,20,1
2,5,Directed,21,1
5,5,Directed,22,9
6,5,Directed,23,2
7,5,Directed,24,1
9,5,Directed,25,1
11,5,Directed,26,1
13,5,Directed,27,5
49,5,Directed,28,2
54,5,Directed,29,1
64,5,Directed,30,1
5,6,Directed,31,2
6,6,Directed,32,1
13,6,Directed,33,3
23,6,Directed,34,1
28,6,Directed,35,1
48,8,Directed,36,1
5,9,Directed,37,1
9,9,Directed,38,1
10,10,Directed,39,3
18,10,Directed,40,1
5,11,Directed,41,3
51,12,Directed,42,1
2,13,Directed,43,1
5,13,Directed,44,4
7,13,Directed,45,2
11,13,Directed,46,1
13,13,Directed,47,2
48,13,Directed,48,1
49,13,Directed,49,1
88,13,Directed,50,1
92,13,Directed,51,1
73,14,Directed,52,1
5,16,Directed,53,1
90,17,Directed,54,1
10,18,Directed,55,1
90,18,Directed,56,1
17,19,Directed,57,1
19,20,Directed,58,1
20,20,Directed,59,6
21,20,Directed,60,1
22,20,Directed,61,5
26,20,Directed,62,1
28,20,Directed,63,1
51,20,Directed,64,1
57,20,Directed,65,1
73,20,Directed,66,2
74,20,Directed,67,1
75,20,Directed,68,2
79,20,Directed,69,1
87,20,Directed,70,1
22,21,Directed,71,1
23,21,Directed,72,1
28,21,Directed,73,1
20,22,Directed,74,9
22,22,Directed,75,3
24,22,Directed,76,1
27,22,Directed,77,1
44,22,Directed,78,1
73,22,Directed,79,1
75,22,Directed,80,1
26,23,Directed,81,1
79,23,Directed,82,1
87,23,Directed,83,1
15,24,Directed,84,1
23,25,Directed,85,1
25,25,Directed,86,1
6,26,Directed,87,1
45,26,Directed,88,1
46,26,Directed,89,2
93,26,Directed,90,1
20,28,Directed,91,1
21,28,Directed,92,1
23,28,Directed,93,2
26,28,Directed,94,2
28,28,Directed,95,1
35,28,Directed,96,2
38,28,Directed,97,1
63,28,Directed,98,1
68,28,Directed,99,1
73,28,Directed,100,1
93,28,Directed,101,1
29,29,Directed,102,3
30,29,Directed,103,1
32,29,Directed,104,1
35,29,Directed,105,1
37,29,Directed,106,2
38,29,Directed,107,1
39,29,Directed,108,1
57,29,Directed,109,1
58,29,Directed,110,1
73,29,Directed,111,3
37,30,Directed,112,1
73,30,Directed,113,1
83,30,Directed,114,1
0,31,Directed,115,1
31,31,Directed,116,3
56,31,Directed,117,1
60,31,Directed,118,1
85,31,Directed,119,1
91,31,Directed,120,1
35,32,Directed,121,2
33,33,Directed,122,1
56,33,Directed,123,1
29,34,Directed,124,1
6,35,Directed,125,1
32,35,Directed,126,1
35,35,Directed,127,1
36,35,Directed,128,1
38,35,Directed,129,1
40,35,Directed,130,1
55,35,Directed,131,1
63,35,Directed,132,1
85,35,Directed,133,1
0,37,Directed,134,1
37,37,Directed,135,1
39,37,Directed,136,3
40,37,Directed,137,1
42,37,Directed,138,1
56,37,Directed,139,1
57,37,Directed,140,1
73,37,Directed,141,4
84,37,Directed,142,1
85,37,Directed,143,2
86,37,Directed,144,1
14,38,Directed,145,1
28,38,Directed,146,1
29,38,Directed,147,1
30,38,Directed,148,1
35,38,Directed,149,1
38,38,Directed,150,2
42,38,Directed,151,1
61,38,Directed,152,1
65,38,Directed,153,1
73,38,Directed,154,3
30,39,Directed,155,1
37,39,Directed,156,2
38,39,Directed,157,1
39,39,Directed,158,1
59,39,Directed,159,1
61,39,Directed,160,1
67,39,Directed,161,1
73,39,Directed,162,2
85,39,Directed,163,4
40,40,Directed,164,3
83,40,Directed,165,1
84,40,Directed,166,1
86,40,Directed,167,1
41,41,Directed,168,1
85,41,Directed,169,1
29,42,Directed,170,1
93,43,Directed,171,1
28,44,Directed,172,1
20,46,Directed,173,1
28,46,Directed,174,3
74,46,Directed,175,2
13,47,Directed,176,1
50,47,Directed,177,1
51,47,Directed,178,2
85,47,Directed,179,1
88,47,Directed,180,1
91,47,Directed,181,1
5,48,Directed,182,2
16,48,Directed,183,1
47,48,Directed,184,1
48,48,Directed,185,1
49,48,Directed,186,2
0,49,Directed,187,1
2,49,Directed,188,1
4,49,Directed,189,1
5,49,Directed,190,1
6,49,Directed,191,2
47,49,Directed,192,1
48,49,Directed,193,1
49,49,Directed,194,8
54,49,Directed,195,1
67,49,Directed,196,1
88,49,Directed,197,2
89,49,Directed,198,1
54,50,Directed,199,1
5,51,Directed,200,1
20,51,Directed,201,1
49,51,Directed,202,1
51,51,Directed,203,1
88,51,Directed,204,1
64,52,Directed,205,1
8,53,Directed,206,1
52,53,Directed,207,1
53,53,Directed,208,1
13,54,Directed,209,1
48,54,Directed,210,1
49,54,Directed,211,1
35,55,Directed,212,1
3,56,Directed,213,1
37,56,Directed,214,1
73,56,Directed,215,2
85,56,Directed,216,1
0,57,Directed,217,1
1,57,Directed,218,1
22,57,Directed,219,1
28,57,Directed,220,1
29,57,Directed,221,1
37,57,Directed,222,2
47,57,Directed,223,1
85,57,Directed,224,1
29,58,Directed,225,1
29,59,Directed,226,2
39,59,Directed,227,1
42,59,Directed,228,1
73,59,Directed,229,1
28,60,Directed,230,1
60,60,Directed,231,1
92,60,Directed,232,1
43,61,Directed,233,1
57,61,Directed,234,1
86,61,Directed,235,1
